nombredepartamento,nombremunicipio,zona,tipo_Establecimiento,capacidades_Excepcionales,idiomas,prestador_de_Servicio,matricula_Contratada,matricula_binaria
SANTANDER,BUCARAMANGA,urbana,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
SANTANDER,BUCARAMANGA,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
SANTANDER,BUCARAMANGA,urbana,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
SANTANDER,BARBOSA,urbana,CENTRO EDUCATIVO,,INGLÉS,COMUNIDAD RELIGIOSA,NO,0
NORTE DE SANTANDER,VILLA DEL ROSARIO,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
NORTE DE SANTANDER,TIBÚ,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NORTE DE SANTANDER,OCAÑA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NORTE DE SANTANDER,PAMPLONA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NORTE DE SANTANDER,OCAÑA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NORTE DE SANTANDER,LOS PATIOS,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
NORTE DE SANTANDER,VILLA DEL ROSARIO,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
NORTE DE SANTANDER,PAMPLONA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NORTE DE SANTANDER,EL ZULIA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NORTE DE SANTANDER,OCAÑA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NORTE DE SANTANDER,LOS PATIOS,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NORTE DE SANTANDER,LOS PATIOS,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
NORTE DE SANTANDER,VILLA DEL ROSARIO,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
